Название города;Регион;Округ;Широта;Долгота
Светлогорск;Калининградская область;Северо-Западный федеральный округ;54.94326;20.15519
Светлый;Калининградская область;Северо-Западный федеральный округ;54.677113;20.136379
Светлый Яр;Волгоградская область;Южный федеральный округ;48.468571;44.749012
Саяногорск;Республика Хакасия;Сибирский федеральный округ;53.089642;91.415703
Средняя Ахтуба;Волгоградская область;Южный федеральный округ;48.70887;44.874191
Сибай;Республика Башкортостан;Приволжский федеральный округ;52.710079;58.6637
Славянка;Приморский край;Дальневосточный федеральный округ;42.870541;131.371567
Славянск-на-Кубани;Краснодарский край;Южный федеральный округ;45.256371;38.12487
Сковородино;Амурская область;Дальневосточный федеральный округ;53.984261;123.948349
Собинка;Владимирская область;Центральный федеральный округ;55.984291;39.987511
Спасск-Дальний;Приморский край;Дальневосточный федеральный округ;44.597721;132.825012
Совхоз имени Ленина;Московская область;Центральный федеральный округ;55.58604;37.732506
Советск;Калининградская область;Северо-Западный федеральный округ;55.071774;21.882612
Советская Гавань;Хабаровский край;Дальневосточный федеральный округ;48.970188;140.291306
Советский;Ханты-Мансийский автономный округ;Уральский федеральный округ;61.366711;63.543209
Сортавала;Республика Карелия;Северо-Западный федеральный округ;61.71196;30.702841
Соликамск;Пермский край;Приволжский федеральный округ;59.63625;56.766788
Солнечная Долина;Челябинская область;Уральский федеральный округ;56.040054;60.727829
Солнечногорск;Московская область;Центральный федеральный округ;56.18457;36.978432
Смоленск;Смоленская область;Центральный федеральный округ;54.781101;32.048889
Сосновоборск;Красноярский край;Сибирский федеральный округ;56.13406;93.383247
Сосновый Бор;Ленинградская область;Северо-Западный федеральный округ;59.893131;29.09503
Снежинск;Челябинская область;Уральский федеральный округ;55.891819;60.763729
Сочи;Краснодарский край;Южный федеральный округ;43.611599;39.722488
Ставрополь;Ставропольский край;Северо-Кавказский федеральный округ;45.039131;41.98214
Старая Русса;Новгородская область;Северо-Западный федеральный округ;57.98967;31.35219
Старая Купавна;Московская область;Центральный федеральный округ;55.806896;38.17889
Старая Полтавка;Волгоградская область;Южный федеральный округ;50.476788;46.481148
Старая Чара;Забайкальский край;Сибирский федеральный округ;56.904449;118.250237
Старый Оскол;Белгородская область;Центральный федеральный округ;51.304901;37.856892
Суворов;Тульская область;Центральный федеральный округ;54.12516;36.49942
Сургут;Ханты-Мансийский автономный округ;Уральский федеральный округ;61.25716;73.400993
Стрежевой;Томская область;Сибирский федеральный округ;60.739071;77.550377
Сходня;Московская область;Центральный федеральный округ;55.945259;37.309227
Сухой Лог;Свердловская область;Уральский федеральный округ;56.895988;62.027569
Ступино;Московская область;Центральный федеральный округ;54.898361;38.08672
Стерлитамак;Республика Башкортостан;Приволжский федеральный округ;53.622341;55.957581
Степное;Ставропольский край;Северо-Кавказский федеральный округ;44.272747;44.574913
Сызрань;Самарская область;Приволжский федеральный округ;53.173111;48.46928
Сыктывкар;Республика Коми;Северо-Западный федеральный округ;61.681862;50.812771
Сысерть;Свердловская область;Уральский федеральный округ;56.502602;60.807339
Северобайкальск;Республика Бурятия;Сибирский федеральный округ;55.63438;109.325317
Северодвинск;Архангельская область;Северо-Западный федеральный округ;64.566879;39.846809
Северск;Томская область;Сибирский федеральный округ;56.599998;84.849998
Сегежа;Республика Карелия;Северо-Западный федеральный округ;63.743439;34.30312
Сергач;Нижегородская область;Приволжский федеральный округ;55.527538;45.4632
Сергиев Посад;Московская область;Центральный федеральный округ;56.310749;38.133041
Серов;Свердловская область;Уральский федеральный округ;59.598202;60.588459
Серпухов;Московская область;Центральный федеральный округ;54.920609;37.416901
Сертолово;Ленинградская область;Северо-Западный федеральный округ;60.145821;30.21096
Серебряные Пруды;Московская область;Центральный федеральный округ;54.469761;38.720928
Селятино;Московская область;Центральный федеральный округ;55.514584;36.976055
Семикаракорск;Ростовская область;Южный федеральный округ;47.513962;40.811501
Семенов;Нижегородская область;Приволжский федеральный округ;56.792542;44.501011
Сестрорецк;Санкт-Петербург;Северо-Западный федеральный округ;60.083229;29.95672
Хабаровск;Хабаровский край;Дальневосточный федеральный округ;48.476719;135.09407
Таганрог;Ростовская область;Южный федеральный округ;47.221729;38.893318
Тарасовский;Ростовская область;Южный федеральный округ;48.730179;40.368568
Тарко-сале;Ямало-Ненецкий автономный округ;Уральский федеральный округ;64.919746;77.78817
Тайга;Кемеровская область;Сибирский федеральный округ;56.061272;85.622787
Углич;Ярославская область;Центральный федеральный округ;57.524689;38.332821
Таксимо;Республика Бурятия;Сибирский федеральный округ;56.339352;114.892342
Тайшет;Иркутская область;Сибирский федеральный округ;55.934219;97.991211
Тамбов;Тамбовская область;Центральный федеральный округ;52.7211;41.417351
Ханты-Мансийск;Ханты-Мансийский автономный округ;Уральский федеральный округ;61.00079;69.006241
Хасавюрт;Республика Дагестан;Северо-Кавказский федеральный округ;43.246769;46.58939
Татищево;Саратовская область;Приволжский федеральный округ;51.67215;45.598061
Тверь;Тверская область;Центральный федеральный округ;56.857929;35.923828
Увельский;Челябинская область;Уральский федеральный округ;54.436146;61.37653
Таштагол;Кемеровская область;Сибирский федеральный округ;52.766048;87.876198
Урай;Ханты-Мансийский автономный округ;Уральский федеральный округ;60.133301;64.80909
Фролово;Волгоградская область;Южный федеральный округ;49.76931;43.656818
Троицк;Московская область;Центральный федеральный округ;55.49654;37.318432
Троицк;Челябинская область;Уральский федеральный округ;54.110538;61.580051
Трудовое;Приморский край;Дальневосточный федеральный округ;43.301418;132.085281
Урень;Нижегородская область;Приволжский федеральный округ;57.460781;45.784988
Трехгорный;Челябинская область;Уральский федеральный округ;54.799999;58.450001
Урюпинск;Волгоградская область;Южный федеральный округ;50.80294;42.029491
Фрязино;Московская область;Центральный федеральный округ;55.95694;38.057911
Фрязево;Московская область;Центральный федеральный округ;55.731197;38.468552
Улан-Удэ;Республика Бурятия;Сибирский федеральный округ;51.840839;107.608093
Хилок;Забайкальский край;Сибирский федеральный округ;51.353889;110.46244
Тимашевск;Краснодарский край;Южный федеральный округ;45.61692;38.9431
Химки;Московская область;Центральный федеральный округ;55.88781;37.44418
Тихвин;Ленинградская область;Северо-Западный федеральный округ;59.63821;33.515999
Тихорецк;Краснодарский край;Южный федеральный округ;45.85318;40.128288
Ульяновск;Ульяновская область;Приволжский федеральный округ;54.32148;48.385651
Тобольск;Тюменская область;Уральский федеральный округ;58.184097;68.254623
Хороль;Приморский край;Дальневосточный федеральный округ;44.425419;132.073868
Фокино;Приморский край;Дальневосточный федеральный округ;42.970631;132.406738
Холмск;Сахалинская область;Дальневосточный федеральный округ;47.062469;142.06131
Тольятти;Самарская область;Приволжский федеральный округ;53.535561;49.409569
Топки;Кемеровская область;Сибирский федеральный округ;55.272007;85.614502
Томилино;Московская область;Центральный федеральный округ;55.653099;37.949669
Томск;Томская область;Сибирский федеральный округ;56.463989;84.962547
Тосно;Ленинградская область;Северо-Западный федеральный округ;59.540291;30.88051
Унеча;Брянская область;Центральный федеральный округ;52.848701;32.67046
Усинск;Республика Коми;Северо-Западный федеральный округ;66.009308;57.547401
Уссурийск;Приморский край;Дальневосточный федеральный округ;43.816299;131.989365
Усть-Катав;Челябинская область;Уральский федеральный округ;54.93565;58.176769
Усть-Илимск;Иркутская область;Сибирский федеральный округ;58.031475;102.817848
Усть-Кинельский;Самарская область;Приволжский федеральный округ;53.268551;50.568352
Усть-Кут;Иркутская область;Сибирский федеральный округ;56.798019;105.765572
Уфа;Республика Башкортостан;Приволжский федеральный округ;54.7355;55.991982
Туапсе;Краснодарский край;Южный федеральный округ;44.103458;39.074699
Тула;Тульская область;Центральный федеральный округ;54.196678;37.617828
Туймазы;Республика Башкортостан;Приволжский федеральный округ;54.601742;53.725471
Ухта;Республика Коми;Северо-Западный федеральный округ;63.569611;53.672981
Тутаев;Ярославская область;Центральный федеральный округ;57.615654;39.784031
Тымовское;Сахалинская область;Дальневосточный федеральный округ;50.850788;142.660172
Тында;Амурская область;Дальневосточный федеральный округ;55.149879;124.722473
Терней;Приморский край;Дальневосточный федеральный округ;45.042881;136.604675
Тейково;Ивановская область;Центральный федеральный округ;56.855049;40.532669
Темрюк;Краснодарский край;Южный федеральный округ;45.279758;37.38089
Удомля;Тверская область;Центральный федеральный округ;57.872669;35.007809
Тюмень;Тюменская область;Уральский федеральный округ;57.154949;65.51564
Учалы;Республика Башкортостан;Приволжский федеральный округ;54.302628;59.424255
Щербинка;Московская область;Центральный федеральный округ;55.499763;37.576847
Щелково;Московская область;Центральный федеральный округ;55.917469;38.01144
Элиста;Республика Калмыкия;Южный федеральный округ;46.312962;44.25346
Электрогорск;Московская область;Центральный федеральный округ;55.883049;38.78043
Электросталь;Московская область;Центральный федеральный округ;55.786968;38.435619
Электроугли;Московская область;Центральный федеральный округ;55.728657;38.197746
Энгельс;Саратовская область;Приволжский федеральный округ;51.479679;46.110069
Егорлык;Ростовская область;Южный федеральный округ;46.293217;41.785385
Егорлыкская;Ростовская область;Южный федеральный округ;46.570709;40.66618
Егорьевск;Московская область;Центральный федеральный округ;55.380039;39.03569
Ерофей-Павлович;Амурская область;Дальневосточный федеральный округ;53.963181;121.954376
Елабуга;Республика Татарстан;Приволжский федеральный округ;55.761799;52.06139
Елань;Волгоградская область;Южный федеральный округ;50.949039;43.723301
Екатеринбург;Свердловская область;Уральский федеральный округ;56.837814;60.596844
Елизово;Камчатский край;Дальневосточный федеральный округ;53.182995;158.382339
Ейск;Краснодарский край;Южный федеральный округ;46.691879;38.285641
Елец;Липецкая область;Центральный федеральный округ;52.622028;38.50526
Еманжелинск;Челябинская область;Уральский федеральный округ;54.752899;61.32476
Ессентуки;Ставропольский край;Северо-Кавказский федеральный округ;44.049809;42.857239
Ефремов;Тульская область;Центральный федеральный округ;53.13905;38.113689
Далматово;Курганская область;Уральский федеральный округ;56.26442;62.932629
Дальнегорск;Приморский край;Дальневосточный федеральный округ;44.560822;135.570251
Дальнереченск;Приморский край;Дальневосточный федеральный округ;45.928711;133.738235
Дзержинск;Нижегородская область;Приволжский федеральный округ;56.23542;43.445271
Дзержинский;Московская область;Центральный федеральный округ;55.628078;37.839806
Дивногорск;Красноярский край;Сибирский федеральный округ;55.95023;92.375107
Дивное;Ставропольский край;Северо-Кавказский федеральный округ;45.909531;43.348949
Жигулевск;Самарская область;Приволжский федеральный округ;53.411221;49.534931
Жирновск;Волгоградская область;Южный федеральный округ;50.981674;44.772907
Димитровград;Ульяновская область;Приволжский федеральный округ;54.22364;49.615059
Добрянка;Пермский край;Приволжский федеральный округ;58.4603;56.408859
Долгопрудный;Московская область;Центральный федеральный округ;55.929729;37.52457
Дмитров;Московская область;Центральный федеральный округ;56.362499;37.541111
Домодедово;Московская область;Центральный федеральный округ;55.45541;37.75779
Донецк;Ростовская область;Южный федеральный округ;48.337929;39.96183
Дубна;Московская область;Центральный федеральный округ;56.755192;37.139721
Дубовка;Волгоградская область;Южный федеральный округ;49.058788;44.817429
Жуковка;Брянская область;Центральный федеральный округ;53.538971;33.736179
Жуковский;Московская область;Центральный федеральный округ;55.59325;38.11961
Дудинка;Красноярский край;Сибирский федеральный округ;69.40834;86.181664
Дербент;Республика Дагестан;Северо-Кавказский федеральный округ;42.057831;48.30048
Железногорск;Курская область;Центральный федеральный округ;52.325729;35.369381
Железногорск;Красноярский край;Сибирский федеральный округ;56.25;93.533333
Железногорск-Илимский;Иркутская область;Сибирский федеральный округ;56.57505;104.11747
Железноводск;Ставропольский край;Северо-Кавказский федеральный округ;44.14278;43.01672
Железнодорожный;Московская область;Центральный федеральный округ;55.747391;38.006859
Демидово;Владимирская область;Центральный федеральный округ;55.397949;40.300636
Десногорск;Смоленская область;Центральный федеральный округ;54.154793;33.28651
Дедовск;Московская область;Центральный федеральный округ;55.86174;37.130245
Цимлянск;Ростовская область;Южный федеральный округ;47.65102;42.090672
Целина;Ростовская область;Южный федеральный округ;46.529099;41.02702
Чайковский;Пермский край;Приволжский федеральный округ;56.764381;54.106319
Чалтырь;Ростовская область;Южный федеральный округ;47.28653;39.50238
Чапаевск;Самарская область;Приволжский федеральный округ;52.969608;49.69286
Чамзинка;Республика Мордовия;Приволжский федеральный округ;54.413338;45.791187
Чита;Забайкальский край;Сибирский федеральный округ;52.045429;113.498627
Чусовой;Пермский край;Приволжский федеральный округ;58.288189;57.82666
Чудово;Новгородская область;Северо-Западный федеральный округ;59.126831;31.681545
Чебаркуль;Челябинская область;Уральский федеральный округ;54.99313;60.38583
Чебоксары;Республика Чувашия;Приволжский федеральный округ;56.137451;47.24403
Чегдомын;Хабаровский край;Дальневосточный федеральный округ;51.116901;132.977478
Черкесск;Республика Карачаево-Черкессия;Северо-Кавказский федеральный округ;44.23085;42.06477
Черниговка;Приморский край;Дальневосточный федеральный округ;44.340469;132.56311
Черногорск;Республика Хакасия;Сибирский федеральный округ;53.826839;91.301826
Черноголовка;Московская область;Центральный федеральный округ;56.012989;38.388531
Чернушка;Пермский край;Приволжский федеральный округ;56.502522;56.087399
Чернышевск;Забайкальский край;Сибирский федеральный округ;52.530739;117.021461
Черняховск;Калининградская область;Северо-Западный федеральный округ;54.636921;21.807932
Чертково;Ростовская область;Южный федеральный округ;49.39061;40.142071
Череповец;Вологодская область;Северо-Западный федеральный округ;59.129822;38.001308
Челябинск;Челябинская область;Уральский федеральный округ;55.159889;61.40258
Чехов;Московская область;Центральный федеральный округ;55.142399;37.460979
Шарыпово;Красноярский край;Сибирский федеральный округ;55.53159;89.204712
Шарья;Костромская область;Центральный федеральный округ;58.36615;45.512409
Шатура;Московская область;Центральный федеральный округ;55.574421;39.541531
Шахунья;Нижегородская область;Приволжский федеральный округ;57.66819;46.600861
Шахты;Ростовская область;Южный федеральный округ;47.708519;40.215309
Шадринск;Курганская область;Уральский федеральный округ;56.0877;63.636089
Шилка;Забайкальский край;Сибирский федеральный округ;51.861012;116.028931
Шимановск;Амурская область;Дальневосточный федеральный округ;52.00951;127.65593
Шумиха;Курганская область;Уральский федеральный округ;55.231621;63.288391
Шумерля;Республика Чувашия;Приволжский федеральный округ;55.490311;46.428989
Шебекино;Белгородская область;Центральный федеральный округ;50.405899;36.890636
Шерегеш;Кемеровская область;Сибирский федеральный округ;52.920509;87.995369
Шелехов;Иркутская область;Сибирский федеральный округ;52.205914;104.098572
Юбилейный;Московская область;Центральный федеральный округ;55.935696;37.836895
Югорск;Ханты-Мансийский автономный округ;Уральский федеральный округ;61.316666;63.333332
Юрга;Кемеровская область;Сибирский федеральный округ;55.734509;84.879967
Южно-Сахалинск;Сахалинская область;Дальневосточный федеральный округ;46.961262;142.731979
Южноуральск;Челябинская область;Уральский федеральный округ;54.44492;61.24419
Яранск;Кировская область;Приволжский федеральный округ;57.30722;47.864239
Ярославль;Ярославская область;Центральный федеральный округ;57.6301;39.865631
Ярцево;Смоленская область;Центральный федеральный округ;55.059761;32.68528
Яковлевка;Приморский край;Дальневосточный федеральный округ;44.42178;133.467896
Якутск;Республика Саха (Якутия);Дальневосточный федеральный округ;62.039261;129.746399
Янаул;Республика Башкортостан;Приволжский федеральный округ;56.280769;54.933048
Ясный;Оренбургская область;Приволжский федеральный округ;51.022987;59.873898
Ядрин;Республика Чувашия;Приволжский федеральный округ;55.93977;46.20237
Юрюзань;Челябинская область;Уральский федеральный округ;54.878601;58.430759
Вязовая;Челябинская область;Уральский федеральный округ;54.906101;58.37431
Каспийск;Республика Дагестан;Северо-Кавказский федеральный округ;42.882751;47.638248
Яхрома;Московская область;Центральный федеральный округ;56.294109;37.484669
Апрелевка;Московская область;Центральный федеральный округ;55.5453;37.06192
Покров;Владимирская область;Центральный федеральный округ;55.916515;39.167343
